Manufacturer,Model,City Fuel Efficiency (MPG/MPGe),Highway Fuel Efficiency (MPG/MPGe),Primary Fuel Type,Vehicle Class,Environmental Rating (1–10)
Honda,ADX AWD,25,30,Gasoline,Small Station Wagons,5
Honda,ADX FWD,26,31,Gasoline,Small Station Wagons,6
Honda,INTEGRA,30,37,Gasoline,Large Cars,6
Honda,INTEGRA,21,28,Gasoline,Large Cars,5
Honda,INTEGRA A-SPEC,29,36,Gasoline,Large Cars,6
Honda,INTEGRA A-SPEC,26,36,Gasoline,Large Cars,6
Honda,MDX AWD,19,25,Gasoline,Small SUV 4WD,4
Honda,MDX AWD Type-S,17,21,Gasoline,Standard SUV 4WD,4
Honda,MDX FWD,19,26,Gasoline,Small SUV 2WD,5
Honda,RDX AWD,21,27,Gasoline,Small SUV 4WD,5
Honda,RDX AWD A-SPEC,21,26,Gasoline,Small SUV 4WD,5
Honda,TLX AWD A-SPEC,21,29,Gasoline,Compact Cars,5
Honda,TLX FWD,22,31,Gasoline,Compact Cars,5
Honda,TLX Type-S,19,25,Gasoline,Compact Cars,4
FCA US LLC,Giulia,24,33,Gasoline,Midsize Cars,5
FCA US LLC,Giulia AWD,23,31,Gasoline,Midsize Cars,5
FCA US LLC,Stelvio AWD,22,28,Gasoline,Small SUV 4WD,5
FCA US LLC,Tonale AWD,21,29,Gasoline,Small SUV 4WD,5
aston martin,DB12 V8,15,22,Gasoline,Minicompact Cars,3
aston martin,DBX 707,15,20,Gasoline,Standard SUV 4WD,3
aston martin,Vanquish,13,21,Gasoline,Two Seaters,3
aston martin,Vantage,15,22,Gasoline,Two Seaters,4
Volkswagen Group of,A3 quattro,24,34,Gasoline,Subcompact Cars,6
Volkswagen Group of,A4 allroad quattro,23,30,Gasoline,Small Station Wagons,5
Volkswagen Group of,A4 quattro,26,36,Gasoline,Compact Cars,6
Volkswagen Group of,A4 S line quattro,23,32,Gasoline,Compact Cars,5
Volkswagen Group of,A5 quattro,22,31,Gasoline,Midsize Cars,5
Volkswagen Group of,A5 Sportback quattro,26,36,Gasoline,Midsize Cars,6
Volkswagen Group of,A5 Sportback S line quattro,23,32,Gasoline,Midsize Cars,5
Volkswagen Group of,A6 allroad quattro,22,30,Gasoline,Midsize Station Wagons,5
Volkswagen Group of,A6 quattro,24,31,Gasoline,Midsize Cars,5
Volkswagen Group of,A6 quattro,22,30,Gasoline,Midsize Cars,5
Volkswagen Group of,A7 quattro,22,30,Gasoline,Midsize Cars,5
Volkswagen Group of,A8 quattro,19,27,Gasoline,Large Cars,5
Volkswagen Group of,Q3,22,29,Gasoline,Small SUV 4WD,5
Volkswagen Group of,Q3 S line,20,28,Gasoline,Small SUV 4WD,5
Volkswagen Group of,Q5 quattro,23,29,Gasoline,Small SUV 4WD,5
Volkswagen Group of,Q5 S line quattro,22,28,Gasoline,Small SUV 4WD,5
Volkswagen Group of,Q5 Sportback S line quattro,22,28,Gasoline,Small SUV 4WD,5
Volkswagen Group of,Q5 Sportback TFSI quattro,22,30,Gasoline,Small SUV 4WD,5
Volkswagen Group of,Q5 TFSI quattro,22,30,Gasoline,Small SUV 4WD,5
Volkswagen Group of,Q7,20,26,Gasoline,Standard SUV 4WD,5
Volkswagen Group of,Q7,18,23,Gasoline,Standard SUV 4WD,4
Volkswagen Group of,Q8 quattro,17,23,Gasoline,Standard SUV 4WD,4
Volkswagen Group of,RS 3,20,29,Gasoline,Subcompact Cars,5
Volkswagen Group of,RS 5 Sportback,18,25,Gasoline,Midsize Cars,4
Volkswagen Group of,RS 6 Avant,14,21,Gasoline,Midsize Station Wagons,3
Volkswagen Group of,RS 7,14,21,Gasoline,Midsize Cars,3
Volkswagen Group of,RS Q8 Performance,14,20,Gasoline,Standard SUV 4WD,3
Volkswagen Group of,S3,23,31,Gasoline,Subcompact Cars,5
Volkswagen Group of,S4,20,29,Gasoline,Compact Cars,5
Volkswagen Group of,S5,19,28,Gasoline,Midsize Cars,5
Volkswagen Group of,S5 Sportback,20,29,Gasoline,Midsize Cars,5
Volkswagen Group of,S6,19,27,Gasoline,Midsize Cars,5
Volkswagen Group of,S7,19,27,Gasoline,Midsize Cars,5
Volkswagen Group of,S8,15,24,Gasoline,Large Cars,4
Volkswagen Group of,SQ5,19,24,Gasoline,Small SUV 4WD,4
Volkswagen Group of,SQ5,19,26,Gasoline,Small SUV 4WD,5
Volkswagen Group of,SQ5 Sportback,19,24,Gasoline,Small SUV 4WD,4
Volkswagen Group of,SQ5 Sportback,19,26,Gasoline,Small SUV 4WD,5
Volkswagen Group of,SQ7,15,21,Gasoline,Standard SUV 4WD,3
Volkswagen Group of,SQ8,15,21,Gasoline,Standard SUV 4WD,3
Volkswagen Group of,Bentayga,14,21,Gasoline,Standard SUV 4WD,3
Volkswagen Group of,Bentayga EWB,14,21,Gasoline,Standard SUV 4WD,3
BMW,228 xDrive Gran Coupe,26,38,Gasoline,Compact Cars,6
BMW,230i Coupe,26,35,Gasoline,Subcompact Cars,6
BMW,230i xDrive Coupe,25,33,Gasoline,Subcompact Cars,6
BMW,330i Sedan,28,35,Gasoline,Compact Cars,6
BMW,330i xDrive Sedan,26,34,Gasoline,Compact Cars,6
BMW,430i Convertible,27,35,Gasoline,Subcompact Cars,6
BMW,430i Coupe,28,36,Gasoline,Subcompact Cars,6
BMW,430i Gran Coupe,27,35,Gasoline,Compact Cars,6
BMW,430i xDrive Convertible,24,33,Gasoline,Subcompact Cars,6
BMW,430i xDrive Coupe,27,34,Gasoline,Subcompact Cars,6
BMW,430i xDrive Gran Coupe,25,34,Gasoline,Compact Cars,6
BMW,530i Sedan,28,35,Gasoline,Midsize Cars,6
BMW,530i xDrive Sedan,27,35,Gasoline,Midsize Cars,6
BMW,540i xDrive Sedan,26,33,Gasoline,Midsize Cars,6
BMW,740i Sedan,25,31,Gasoline,Large Cars,6
BMW,740i xDrive Sedan,24,31,Gasoline,Large Cars,5
BMW,760i xDrive Sedan,18,25,Gasoline,Large Cars,4
BMW,840i Convertible,21,29,Gasoline,Subcompact Cars,5
BMW,840i Coupe,21,29,Gasoline,Subcompact Cars,5
BMW,840i Gran Coupe,21,29,Gasoline,Midsize Cars,5
BMW,840i xDrive Convertible,21,29,Gasoline,Subcompact Cars,5
BMW,840i xDrive Coupe,21,29,Gasoline,Subcompact Cars,5
BMW,840i xDrive Gran Coupe,21,29,Gasoline,Midsize Cars,5
BMW,ALPINA B8 Gran Coupe,17,24,Gasoline,Midsize Cars,4
BMW,M2 Coupe,16,23,Gasoline,Subcompact Cars,4
BMW,M2 Coupe,16,23,Gasoline,Subcompact Cars,4
BMW,M235 xDrive Gran Coupe,24,33,Gasoline,Compact Cars,5
BMW,M240i Coupe,23,32,Gasoline,Subcompact Cars,5
BMW,M240i xDrive Coupe,23,32,Gasoline,Subcompact Cars,5
BMW,M3 Competition M xDrive Sedan,16,23,Gasoline,Compact Cars,4
BMW,M3 Competition Sedan,16,23,Gasoline,Compact Cars,4
BMW,M3 Sedan,16,23,Gasoline,Compact Cars,4
BMW,M340i Sedan,27,33,Gasoline,Compact Cars,6
BMW,M340i xDrive Sedan,26,33,Gasoline,Compact Cars,6
BMW,M4 Competition Coupe,16,23,Gasoline,Subcompact Cars,4
BMW,M4 Competition M xDrive Coupe,16,23,Gasoline,Subcompact Cars,4
BMW,M4 Coupe,16,23,Gasoline,Subcompact Cars,4
BMW,M4 CS Coupe,16,23,Gasoline,Subcompact Cars,4
BMW,M440i Convertible,27,33,Gasoline,Subcompact Cars,6
BMW,M440i Coupe,27,34,Gasoline,Subcompact Cars,6
BMW,M440i Gran Coupe,26,32,Gasoline,Compact Cars,6
BMW,M440i xDrive Convertible,25,32,Gasoline,Subcompact Cars,6
BMW,M440i xDrive Coupe,26,33,Gasoline,Subcompact Cars,6
BMW,M440i xDrive Gran Coupe,25,31,Gasoline,Compact Cars,5
BMW,M4CompetitionMxDriveConvertible,16,22,Gasoline,Subcompact Cars,4
BMW,M8 Competition Convertible,15,22,Gasoline,Subcompact Cars,3
BMW,M8 Competition Coupe,15,22,Gasoline,Subcompact Cars,3
BMW,M8 Competition Gran Coupe,15,22,Gasoline,Midsize Cars,3
BMW,M850i xDrive Convertible,17,24,Gasoline,Subcompact Cars,4
BMW,M850i xDrive Coupe,17,24,Gasoline,Subcompact Cars,4
BMW,M850i xDrive Gran Coupe,17,24,Gasoline,Midsize Cars,4
BMW,X1 M35i,23,31,Gasoline,Small SUV 4WD,5
BMW,X1 xDrive28i,24,33,Gasoline,Small SUV 4WD,6
BMW,X2 M35i,23,32,Gasoline,Small SUV 4WD,5
BMW,X2 xDrive28i,24,33,Gasoline,Small SUV 4WD,6
BMW,X3 M50i xDrive,25,30,Gasoline,Small SUV 4WD,5
BMW,X3 xDrive30i,27,33,Gasoline,Small SUV 4WD,6
BMW,X4 M,15,20,Gasoline,Small SUV 4WD,3
BMW,X4 M Competition,15,20,Gasoline,Small SUV 4WD,3
BMW,X4 M40i,22,26,Gasoline,Small SUV 4WD,5
BMW,X4 xDrive30i,21,27,Gasoline,Small SUV 4WD,5
BMW,X5 M Competition,13,18,Gasoline,Standard SUV 4WD,2
BMW,X5 M60i xDrive,17,22,Gasoline,Standard SUV 4WD,4
BMW,X5 sDrive40i,23,27,Gasoline,Standard SUV 2WD,5
BMW,X5 xDrive40i,23,27,Gasoline,Standard SUV 4WD,5
BMW,X6 M Competition,13,18,Gasoline,Standard SUV 4WD,2
BMW,X6 M60i xDrive,17,22,Gasoline,Standard SUV 4WD,4
BMW,X6 xDrive40i,23,26,Gasoline,Standard SUV 4WD,5
BMW,X7 M60i xDrive,16,20,Gasoline,Standard SUV 4WD,4
BMW,X7 xDrive40i,20,24,Gasoline,Standard SUV 4WD,5
BMW,Z4 M40i,23,29,Gasoline,Two Seaters,5
BMW,Z4 M40i,19,26,Gasoline,Two Seaters,5
BMW,Z4 sDrive30i,25,33,Gasoline,Two Seaters,6
Volkswagen Group of,Mistral,8,12,Gasoline,Two Seaters,1
General Motors,ENCLAVE AWD,19,24,Gasoline,Standard SUV 4WD,4
General Motors,ENCLAVE FWD,20,27,Gasoline,Standard SUV 2WD,5
General Motors,ENCORE GX AWD,26,28,Gasoline,Small SUV 4WD,5
General Motors,ENCORE GX FWD,29,31,Gasoline,Small SUV 2WD,6
General Motors,ENCORE GX FWD,30,31,Gasoline,Small SUV 2WD,6
General Motors,ENVISION AWD,22,28,Gasoline,Small SUV 4WD,5
General Motors,ENVISTA,28,32,Gasoline,Small Station Wagons,6
General Motors,ENVISTA,28,32,Gasoline,Small Station Wagons,6
General Motors,CT4,21,31,Gasoline,Compact Cars,5
General Motors,CT4 AWD,21,31,Gasoline,Compact Cars,5
General Motors,CT4 AWD,21,29,Gasoline,Compact Cars,5
General Motors,CT4 V,20,29,Gasoline,Compact Cars,5
General Motors,CT4 V,16,24,Gasoline,Compact Cars,4
General Motors,CT4 V,15,23,Gasoline,Compact Cars,4
General Motors,CT4 V AWD,20,28,Gasoline,Compact Cars,5
General Motors,CT5,19,28,Gasoline,Midsize Cars,5
General Motors,CT5,23,32,Gasoline,Midsize Cars,5
General Motors,CT5 AWD,18,26,Gasoline,Midsize Cars,4
General Motors,CT5 AWD,21,30,Gasoline,Midsize Cars,5
General Motors,CT5 V,18,27,Gasoline,Midsize Cars,4
General Motors,CT5 V,13,20,Gasoline,Midsize Cars,2
General Motors,CT5 V,13,20,Gasoline,Midsize Cars,2
General Motors,CT5 V AWD,17,26,Gasoline,Midsize Cars,4
General Motors,ESCALADE 2WD,15,19,Gasoline,Standard SUV 2WD,3
General Motors,ESCALADE 4WD,14,18,Gasoline,Standard SUV 4WD,3
General Motors,ESCALADE V AWD,11,17,Gasoline,Standard SUV 4WD,1
General Motors,XT4 AWD,23,28,Gasoline,Small SUV 4WD,5
General Motors,XT4 FWD,24,29,Gasoline,Small SUV 2WD,5
General Motors,XT5 AWD,21,27,Gasoline,Small SUV 4WD,5
General Motors,XT5 AWD,18,26,Gasoline,Small SUV 4WD,4
General Motors,XT5 FWD,22,29,Gasoline,Small SUV 2WD,5
General Motors,XT5 FWD,19,26,Gasoline,Small SUV 2WD,4
General Motors,XT6 AWD,21,26,Gasoline,Small SUV 4WD,5
General Motors,XT6 AWD,18,25,Gasoline,Small SUV 4WD,4
General Motors,XT6 FWD,21,27,Gasoline,Small SUV 2WD,5
General Motors,XT6 FWD,19,26,Gasoline,Small SUV 2WD,4
General Motors,BLAZER AWD,22,27,Gasoline,Small SUV 4WD,5
General Motors,BLAZER AWD,18,26,Gasoline,Small SUV 4WD,4
General Motors,BLAZER FWD,22,29,Gasoline,Small SUV 2WD,5
General Motors,BLAZER FWD,19,26,Gasoline,Small SUV 2WD,5
General Motors,COLORADO 2WD,19,23,Gasoline,Standard Pick-up Trucks 2WD,4
General Motors,COLORADO 4WD,17,21,Gasoline,Standard Pick-up Trucks 4WD,4
General Motors,COLORADO 4WD MUD TERRAIN TIRES,17,20,Gasoline,Standard Pick-up Trucks 4WD,4
General Motors,COLORADO ZR2 4WD,17,17,Gasoline,Standard Pick-up Trucks 4WD,3
General Motors,COLORADO ZR2 BISON 4WD,16,16,Gasoline,Standard Pick-up Trucks 4WD,3
General Motors,CORVETTE,16,25,Gasoline,Two Seaters,4
General Motors,CORVETTE E-RAY,16,24,Gasoline,Two Seaters,4
General Motors,CORVETTE Z06,12,20,Gasoline,Two Seaters,2
General Motors,CORVETTE Z06 CARBON AERO,12,19,Gasoline,Two Seaters,2
General Motors,CORVETTE ZR1,12,18,Gasoline,Two Seaters,2
General Motors,EQUINOX AWD,24,29,Gasoline,Small SUV 4WD,5
General Motors,EQUINOX FWD,26,28,Gasoline,Small SUV 2WD,5
General Motors,MALIBU,28,36,Gasoline,Midsize Cars,6
General Motors,SILVERADO 2WD,23,29,Diesel,Standard Pick-up Trucks 2WD,5
General Motors,SILVERADO 2WD,17,21,Gasoline,Standard Pick-up Trucks 2WD,4
General Motors,SILVERADO 2WD,18,21,Gasoline,Standard Pick-up Trucks 2WD,4
General Motors,SILVERADO 2WD,16,21,Gasoline,Standard Pick-up Trucks 2WD,4
General Motors,SILVERADO 2WD,16,21,Gasoline,Standard Pick-up Trucks 2WD,4
General Motors,SILVERADO 2WD CAB CHASSIS,15,18,Gasoline,Special Purpose Vehicle cab chassis,3
General Motors,SILVERADO 4WD,22,26,Diesel,Standard Pick-up Trucks 4WD,4
General Motors,SILVERADO 4WD,22,25,Diesel,Standard Pick-up Trucks 4WD,4
General Motors,SILVERADO 4WD,17,20,Gasoline,Standard Pick-up Trucks 4WD,4
General Motors,SILVERADO 4WD,17,20,Gasoline,Standard Pick-up Trucks 4WD,4
General Motors,SILVERADO 4WD,15,19,Gasoline,Standard Pick-up Trucks 4WD,3
General Motors,SILVERADO 4WD,15,20,Gasoline,Standard Pick-up Trucks 4WD,3
General Motors,SILVERADO 4WD,15,19,Gasoline,Standard Pick-up Trucks 4WD,3
General Motors,SILVERADO 4WD,16,19,Gasoline,Standard Pick-up Trucks 4WD,3
General Motors,SILVERADO 4WD,16,19,Gasoline,Standard Pick-up Trucks 4WD,3
General Motors,SILVERADO 4WD CAB CHASSIS,14,16,Gasoline,Special Purpose Vehicle cab chassis,2
General Motors,SILVERADO 4WD MUD TERRAIN TIRES,21,24,Diesel,Standard Pick-up Trucks 4WD,4
General Motors,SILVERADO 4WD MUD TERRAIN TIRES,21,24,Diesel,Standard Pick-up Trucks 4WD,4
General Motors,SILVERADO 4WD MUD TERRAIN TIRES,16,17,Gasoline,Standard Pick-up Trucks 4WD,3
General Motors,SILVERADO 4WD MUD TERRAIN TIRES,16,17,Gasoline,Standard Pick-up Trucks 4WD,3
General Motors,SILVERADO 4WD MUD TERRAIN TIRES,15,19,Gasoline,Standard Pick-up Trucks 4WD,3
General Motors,SILVERADO 4WD MUD TERRAIN TIRES,14,17,Gasoline,Standard Pick-up Trucks 4WD,2
General Motors,SILVERADO 4WD MUD TERRAIN TIRES,15,19,Gasoline,Standard Pick-up Trucks 4WD,3
General Motors,SILVERADO 4WD MUD TERRAIN TIRES,15,18,Gasoline,Standard Pick-up Trucks 4WD,3
General Motors,SILVERADO 4WD MUD TERRAIN TIRES,15,18,Gasoline,Standard Pick-up Trucks 4WD,3
General Motors,SILVERADO 4WD ZR2,20,23,Diesel,Standard Pick-up Trucks 4WD,4
General Motors,SILVERADO 4WD ZR2,14,17,Gasoline,Standard Pick-up Trucks 4WD,2
General Motors,SUBURBAN 2WD,15,19,Gasoline,Standard SUV 2WD,3
General Motors,SUBURBAN 2WD,15,20,Gasoline,Standard SUV 2WD,3
General Motors,SUBURBAN 2WD,21,26,Diesel,Standard SUV 2WD,4
General Motors,SUBURBAN 4WD,14,18,Gasoline,Standard SUV 4WD,3
General Motors,SUBURBAN 4WD,14,19,Gasoline,Standard SUV 4WD,3
General Motors,SUBURBAN 4WD,20,26,Diesel,Standard SUV 4WD,4
General Motors,TAHOE 2WD,15,20,Gasoline,Standard SUV 2WD,3
General Motors,TAHOE 2WD,15,20,Gasoline,Standard SUV 2WD,3
General Motors,TAHOE 2WD,22,26,Diesel,Standard SUV 2WD,4
General Motors,TAHOE 4WD,14,18,Gasoline,Standard SUV 4WD,3
General Motors,TAHOE 4WD,15,19,Gasoline,Standard SUV 4WD,3
General Motors,TAHOE 4WD,14,18,Gasoline,Standard SUV 4WD,3
General Motors,TAHOE 4WD,20,26,Diesel,Standard SUV 4WD,4
General Motors,TRAILBLAZER AWD,26,29,Gasoline,Small SUV 4WD,5
General Motors,TRAILBLAZER FWD,29,33,Gasoline,Small SUV 2WD,6
General Motors,TRAILBLAZER FWD,30,31,Gasoline,Small SUV 2WD,6
General Motors,TRAVERSE AWD,19,24,Gasoline,Standard SUV 4WD,4
General Motors,TRAVERSE FWD,20,27,Gasoline,Standard SUV 2WD,5
General Motors,TRAX,28,32,Gasoline,Small Station Wagons,6
General Motors,TRAX,28,31,Gasoline,Small Station Wagons,6
FCA US LLC,Pacifica,19,28,Gasoline,"Special Purpose Vehicle, minivan 2WD",5
FCA US LLC,Pacifica AWD,17,25,Gasoline,"Special Purpose Vehicle, minivan 4WD",4
FCA US LLC,Voyager,19,28,Gasoline,"Special Purpose Vehicle, minivan 2WD",5
FCA US LLC,Durango AWD,17,24,Gasoline,Standard SUV 4WD,4
FCA US LLC,Durango AWD,14,22,Gasoline,Standard SUV 4WD,3
FCA US LLC,Durango RWD,18,25,Gasoline,Standard SUV 2WD,4
FCA US LLC,Durango RWD,14,22,Gasoline,Standard SUV 2WD,3
FCA US LLC,Durango SRT AWD,12,17,Gasoline,Standard SUV 4WD,1
FCA US LLC,Hornet AWD,21,29,Gasoline,Small SUV 4WD,5
Ferrari,F167 ABA,12,19,Gasoline,Two Seaters,2
Ferrari,Ferrari Daytona SP3,12,16,Gasoline,Two Seaters,1
Ferrari,Roma Spider,17,22,Gasoline,Minicompact Cars,4
Ford Motor Company,BRONCO 4WD,18,22,Gasoline,Small SUV 4WD,4
Ford Motor Company,BRONCO 4WD,17,18,Gasoline,Small SUV 4WD,4
Ford Motor Company,BRONCO 4WD,18,21,Gasoline,Small SUV 4WD,4
Ford Motor Company,BRONCO 4WD,17,18,Gasoline,Small SUV 4WD,4
Ford Motor Company,BRONCO BADLANDS 4WD,17,19,Gasoline,Small SUV 4WD,4
Ford Motor Company,BRONCO BADLANDS 4WD,17,18,Gasoline,Small SUV 4WD,3
Ford Motor Company,BRONCO OUTER BANKS 4WD,19,21,Gasoline,Standard SUV 4WD,4
Ford Motor Company,BRONCO RAPTOR 4WD,15,16,Gasoline,Standard SUV 4WD,2
Ford Motor Company,BRONCO SASQUATCH 4WD,17,19,Gasoline,Small SUV 4WD,4
Ford Motor Company,BRONCO SASQUATCH 4WD,17,19,Gasoline,Small SUV 4WD,4
Ford Motor Company,BRONCO SPORT 4WD,25,30,Gasoline,Small SUV 4WD,5
Ford Motor Company,BRONCO SPORT 4WD,21,27,Gasoline,Small SUV 4WD,5
Ford Motor Company,BRONCO SPORT SASQUATCH,23,26,Gasoline,Small SUV 4WD,5
Ford Motor Company,ESCAPE AWD,23,31,Gasoline,Small SUV 4WD,5
Ford Motor Company,ESCAPE AWD,26,32,Gasoline,Small SUV 4WD,6
Ford Motor Company,ESCAPE AWD HEV,42,36,Gasoline,Small SUV 4WD,7
Ford Motor Company,ESCAPE FWD,27,34,Gasoline,Small SUV 2WD,6
Ford Motor Company,ESCAPE FWD HEV,42,36,Gasoline,Small SUV 2WD,7
Ford Motor Company,EXPEDITION 2WD,16,24,Gasoline,Standard SUV 2WD,4
Ford Motor Company,EXPEDITION 4WD,15,22,Gasoline,Standard SUV 4WD,4
Ford Motor Company,EXPLORER AWD,18,25,Gasoline,Standard SUV 4WD,4
Ford Motor Company,EXPLORER AWD,18,25,Gasoline,Standard SUV 4WD,4
Ford Motor Company,EXPLORER AWD,20,27,Gasoline,Standard SUV 4WD,5
Ford Motor Company,EXPLORER RWD,18,25,Gasoline,Standard SUV 2WD,4
Ford Motor Company,EXPLORER RWD,18,25,Gasoline,Standard SUV 2WD,4
Ford Motor Company,EXPLORER RWD,20,29,Gasoline,Standard SUV 2WD,5
Ford Motor Company,F150 PICKUP 2WD,17,25,Gasoline,Standard Pick-up Trucks 2WD,4
Ford Motor Company,F150 PICKUP 2WD,19,25,Gasoline,Standard Pick-up Trucks 2WD,4
Ford Motor Company,F150 PICKUP 2WD,16,24,Gasoline,Standard Pick-up Trucks 2WD,4
Ford Motor Company,F150 PICKUP 4WD,16,24,Gasoline,Standard Pick-up Trucks 4WD,4
Ford Motor Company,F150 PICKUP 4WD,18,23,Gasoline,Standard Pick-up Trucks 4WD,4
Ford Motor Company,F150 PICKUP 4WD,16,24,Gasoline,Standard Pick-up Trucks 4WD,4
Ford Motor Company,F150 PICKUP 4WD HEV,22,24,Gasoline,Standard Pick-up Trucks 4WD,5
Ford Motor Company,F150 PICKUP TREMOR 4WD,16,21,Gasoline,Standard Pick-up Trucks 4WD,4
Ford Motor Company,F150 PICKUP TREMOR 4WD,15,20,Gasoline,Standard Pick-up Trucks 4WD,3
Ford Motor Company,F150 RAPTOR 4WD,14,18,Gasoline,Standard Pick-up Trucks 4WD,3
Ford Motor Company,F150 RAPTOR R 4WD,10,15,Gasoline,Standard Pick-up Trucks 4WD,1
Ford Motor Company,MAVERICK AWD,22,30,Gasoline,Small Pick-up Trucks 4WD,5
Ford Motor Company,MAVERICK HEV AWD,40,34,Gasoline,Small Pick-up Trucks 4WD,7
Ford Motor Company,MAVERICK HEV FWD,42,35,Gasoline,Small Pick-up Trucks 2WD,7
Ford Motor Company,MAVERICK LOBO AWD,21,30,Gasoline,Small Pick-up Trucks 4WD,5
Ford Motor Company,MAVERICK TREMOR AWD,21,27,Gasoline,Small Pick-up Trucks 4WD,5
Ford Motor Company,MUSTANG,16,24,Gasoline,Subcompact Cars,4
Ford Motor Company,MUSTANG,22,33,Gasoline,Subcompact Cars,5
Ford Motor Company,MUSTANG,15,23,Gasoline,Subcompact Cars,4
Ford Motor Company,MUSTANG DARK HORSE,14,22,Gasoline,Subcompact Cars,3
Ford Motor Company,MUSTANG DARK HORSE,14,22,Gasoline,Subcompact Cars,3
Ford Motor Company,MUSTANG GTD,10,17,Gasoline,Subcompact Cars,1
Ford Motor Company,RANGER 2WD,21,26,Gasoline,Standard Pick-up Trucks 2WD,5
Ford Motor Company,RANGER 4WD,19,26,Gasoline,Standard Pick-up Trucks 4WD,5
Ford Motor Company,RANGER 4WD,19,23,Gasoline,Standard Pick-up Trucks 4WD,4
Ford Motor Company,RANGER RAPTOR 4WD,16,18,Gasoline,Standard Pick-up Trucks 4WD,3
Hyundai,G70 AWD,17,23,Gasoline,Compact Cars,4
Hyundai,G70 AWD,20,28,Gasoline,Compact Cars,5
Hyundai,G70 RWD,17,25,Gasoline,Compact Cars,4
Hyundai,G70 RWD,21,29,Gasoline,Compact Cars,5
